dataset,target,spearman,spearman_fulldata,shots,n
midterm,followers_count,0.08415243914210839,0.22516242607458611,10,333430
midterm,friends_count,0.05834037797008211,0.1931969955818432,10,333430
midterm,statuses_count,0.07653224993808216,0.2326563060128464,10,333430
midterm,favourites_count,0.0664190989755012,0.19431419921693593,10,333430
midterm,listed_count,0.0007821284235001295,0.10381853660234891,10,333430
midterm,account_age_days,-0.018473655670951904,0.011412236440015544,10,333430
ukr_rus_twitter,followers_count,0.07223603126326446,0.22195407814351029,10,10273623
ukr_rus_twitter,friends_count,0.05594949190918931,0.20970452693837055,10,10273623
ukr_rus_twitter,statuses_count,0.12853989657827788,0.28127493346450844,10,10273623
ukr_rus_twitter,favourites_count,0.11752910399302775,0.23973718444008213,10,10273623
ukr_rus_twitter,listed_count,-0.016819373914625187,0.17603796778090602,10,10273623
ukr_rus_twitter,account_age_days,-0.0031623956336416224,0.0818870221768652,10,10273623
covid19_twitter,followers_count,0.09708567191698571,0.25590002953857305,10,23012850
covid19_twitter,friends_count,0.06658397174764008,0.22300233712666834,10,23012850
covid19_twitter,statuses_count,0.1376727382155687,0.3368522506975907,10,23012850
covid19_twitter,favourites_count,0.09591132979205001,0.2812322687711854,10,23012850
covid19_twitter,listed_count,0.05328387354657915,0.21835769691271498,10,23012850
covid19_twitter,account_age_days,0.0013779913381555165,0.10009498843036871,10,23012850
twibot20,followers_count,0.3955308799278014,0.4170887106325503,10,162988
twibot20,friends_count,0.0939214615727086,0.2608968937899349,10,162988
twibot20,statuses_count,0.2794532997082358,0.41820248426574097,10,162988
twibot20,listed_count,0.34590193441561184,0.4184510951868716,10,162988
twibot20,account_age_days,0.06186653600460932,0.2097127723685582,10,162988
