[21:27:00] Loading dataset...
Loading covid19_twitter graph from /dataMeR1/phil/data/merged/graphs/ukr_rus_covid_midterm_all9_facebook_final_core_split_seed0.pt...
Using all midterm features (768 dims).
Graph: 34601450 nodes, 134183020 edges, 768 node features
Building neighbor sampler (CSR preprocessing)...
Neighbor sampler ready.
Neighbor-matching edge split: train/context=static_train (134183020 directed edges), validation positives=static_validation (28753761 directed edges), test positives=static_test (28753959 directed edges)
[21:28:42] Dataset loaded. Initializing trainer...
wandb: Tracking run with wandb version 0.27.2
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /dataMeR1/phil/gfm/prodigy-trace-schedule/wandb/offline-run-20260906_212843-6i86c6e0
[21:28:43] Saved effective config YAML to W&B files: /dataMeR1/phil/gfm/prodigy-trace-schedule/wandb/offline-run-20260906_212843-6i86c6e0/files/effective_config.yaml
[21:28:43] Saved source config YAML to W&B files: /dataMeR1/phil/gfm/prodigy-trace-schedule/wandb/offline-run-20260906_212843-6i86c6e0/files/training.yaml
[21:28:43] Command: /home/mhchu/miniconda3/envs/prodigy/bin/python experiments/run_single_experiment.py --config /dataMeR1/phil/gfm/prodigy-trace-schedule/scripts/experiments/setup/trace_schedule_scaling/training.yaml --device 0 --seed 1 --prefix tracesched_r3_blocked_s1 --timestamp 20260907v1 --state_dir /dataMeR1/phil/gfm/prodigy-trace-schedule/state/trace_schedule_scaling --log_dir /dataMeR1/phil/gfm/prodigy-trace-schedule/log/trace_schedule_scaling --dataset_len_cap 2500 --checkpoint_steps 100,300,625,833,834,900,1250,1666,1667,1875,2500 --neighbor_sampling_source_subset ukr_rus,covid,midterm --neighbor_sampling_source_schedule covid,midterm,ukr_rus --neighbor_sampling_source_schedule_steps 833,833,834 --neighbor_matching_member_seed 380101 --neighbor_sampling_source_schedule_seed 480101
wandb: WARNING URL not available in offline run
[21:28:43] Initializing trainer
---------- Parameters ----------
  config: /dataMeR1/phil/gfm/prodigy-trace-schedule/scripts/experiments/setup/trace_schedule_scaling/training.yaml
  root: /dataMeR1/phil/data/merged/graphs
  dataset: covid19_twitter
  csv_filename: twitter_data.csv
  facebook_pkl_filename: facebook_2022-06-24_2022-06-25_part1.pkl
  facebook_edges_filename: facebook_2022-06-24_2022-06-25_part1_edges.csv
  facebook_node_features_filename: facebook_2022-06-24_2022-06-25_part1_node_features.csv
  facebook_data_source: csv
  facebook_use_edge_features: False
  facebook_edge_feature_columns:
  facebook_source_pkl_path:
  facebook_embeddings_path:
  facebook_embedding_ids_path:
  facebook_text_emb_model:
  facebook_target_dim: 768
  facebook_filter_to_uk_ru: True
  facebook_max_posts: None
  label_type: verified
  max_users: None
  invalidate_cache: False
  dataset_len_cap: 2500
  val_len_cap: 500
  test_len_cap: 500
  shuffle_index: False
  force_cache: False
  classification_only: False
  early_stopping_patience: 20
  reset_after_layer: None
  original_features: True
  override_log: False
  seed: 1
  eval_episode_seed_offset: 0
  metric: Acc
  learning_rate: 0.002
  epochs: 1
  print_epoch: 10
  eval_epoch: 10
  checkpoint_epoch: 10
  print_step: 100
  eval_step: 100000
  checkpoint_step: 100000
  source_diagnostics_interval: 0
  checkpoint_steps: 100,300,625,833,834,900,1250,1666,1667,1875,2500
  batch_size: 1
  weight_decay: 0.001
  dropout: 0.0
  text_features_dropout: 0
  rel_sample_random_seed: None
  split_train_nodes: False
  verbose: False
  detect_anomaly: False
  loader_start_method:
  workers: 2
  device: cuda:0
  input_dim: 768
  emb_dim: 256
  gnn_type: sage
  n_layer: 1
  meta_n_layer: 1
  second_gnn: Atten
  attention_mask_scheme: causal
  skip_path: False
  has_final_back: False
  layers: S,U,M
  ignore_label_embeddings: True
  zero_label_embeddings: False
  not_freeze_learned_label_embedding: False
  linear_probe: False
  fix_datasets_first: False
  no_bn_metagraph: False
  no_bn_encoder: False
  calc_ranks: False
  save_roc_curve: False
  eval_only: False
  eval_only_split: test
  eval_test_before_train: False
  eval_val_before_train: False
  eval_after_train: False
  meta_gnn_pos_only: False
  task_name: neighbor_matching
  zero_shot: False
  no_split_labels: True
  all_test: False
  train_cap: None
  label_set: None
  csr_split: False
  n_way: 30
  n_shots: 3
  n_query: 4
  track_training_user_roles: False
  neighbor_sampling_strategy: strict
  neighbor_sampling_strata:
  neighbor_sampling_episode_source: graph_id
  neighbor_sampling_source_subset: ukr_rus,covid,midterm
  neighbor_sampling_source_sequence:
  neighbor_sampling_source_sequence_steps:
  neighbor_sampling_source_schedule: covid,midterm,ukr_rus
  neighbor_sampling_source_schedule_steps: 833,833,834
  neighbor_sampling_source_schedule_seed: 480101
  neighbor_sampling_episode_source_weighting: balanced
  neighbor_sampling_batch_source_mode: independent
  neighbor_sampling_cross_source_prob: 0.0
  neighbor_sampling_center_radii:
  neighbor_sampling_center_radius_weights:
  neighbor_sampling_center_region_fanout: 64
  neighbor_sampling_center_region_node_limit: 4096
  neighbor_sampling_center_region_candidate_limit: 512
  neighbor_sampling_center_max_attempts: 200
  neighbor_matching_edge_split: True
  n_way_upper: -1
  n_shots_upper: -1
  n_query_upper: -1
  max_length: -1
  augmentation:
  augment_test: False
  ablate_features: none
  ablate_edges: none
  structural_features: none
  attr_regression_weight: 0.0
  fp_mask_ratio: 0.3
  fp_mask_strategy: zero
  mix_task_counts: 1,1,1
  mix_cl_aug: NZ0.2
  e4_combine: simultaneous
  e4_weights: 1,1,1
  e4_task_counts: 1,1,1
  e4_lp_neg_k: 1
  prefix: tracesched_r3_blocked_s1
  timestamp: 20260907v1
  tags: ['trace_schedule_scaling', 'neighbor_matching', 'exact_episode_multiset']
  log_dir: /dataMeR1/phil/gfm/prodigy-trace-schedule/log/trace_schedule_scaling
  state_dir: /dataMeR1/phil/gfm/prodigy-trace-schedule/state/trace_schedule_scaling
  bert_emb_model: multi-qa-distilbert-cos-v1
  bert_cache: multi-qa-distilbert-cos-v1
  label_emb_model:
  label_emb_texts:
  label_emb_revision:
  label_emb_trust_remote_code: True
  label_emb_normalize: True
  kg_emb_model:
  pretrained_model_run:
  resume_training_checkpoint:
  n_hop: 2
  neighbor_sampling_hop_sizes: 9,9
  neighbor_sampling_node_limit: 101
  neighbor_matching_walk_hops: 1
  neighbor_matching_member_policy: uniform_shuffled
  neighbor_matching_member_seed: 380101
  train_episode_audit: True
  graph_filename: ukr_rus_covid_midterm_all9_facebook_final_core_split_seed0.pt
  target_feature:
  target_feature_keep_in_x: False
  target_transform: none
  feature_subset: all
  midterm_label_downsample:
  eval_random_query: False
  edge_view: static_train
  target_edge_view: static_test
  edge_feature_subset: all
  midterm_lp_neg_ratio: 1
  hard_negatives: True
  use_edge_features: False
  midterm_debug_print_episodes: 0
  debug_print_predictions: 0
  export_predictions: False
  prediction_context_neighbors: 3
  prediction_support_per_label: 3
  small_dataset: False
  experiment_type: metagraph
  exp_name: tracesched_r3_blocked_s1_20260907v1
--------------------------------
[21:28:43] Checkpoint schedule (explicit): [100, 300, 625, 833, 834, 900, 1250, 1666, 1667, 1875, 2500]
SingleLayerGeneralGNN(
  (layer_list): ModuleList(
    (0): MultiLayerGNN(
      (module_list): ModuleList(
