order,rung,added,source_count,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference,target_mean
A,1,ukr_rus_twitter,1,0.599363695945083,0.7132308007183908,0.7096629620849295,0.7545137868454662,0.6830909540229884,0.6771790436781608,0.7427265016123883,0.6241267262931035,0.8857940402298851,0.7099653901589328
A,2,covid19_twitter,2,0.5976491703384418,0.7103266533365261,0.7093388358876117,0.7538110572318009,0.6811376551724136,0.6772116620689652,0.7405691895274583,0.6202354771551725,0.8885859880747126,0.7087628543103448
A,3,midterm,3,0.5961710378033207,0.7066679524744572,0.7085767799808429,0.7520900455938695,0.6775607379310346,0.6768692528735633,0.7357993693805873,0.6146658666666666,0.8875125682471264,0.706212623439052
A,4,covid_political,4,0.5946692384418901,0.7043054728607918,0.7074412559706257,0.750424067624521,0.6747588068965518,0.6752677310344829,0.7322427158684547,0.6108851541666667,0.8844004987068964,0.7038216601745423
A,5,election2020,5,0.5962474329182632,0.7070700725893998,0.7086556269157086,0.7517815870530012,0.6772390459770115,0.6760185701149424,0.7377958299489145,0.6175508676724139,0.887857541954023,0.7066907305715199
A,6,ukr_rus_suspended,6,0.5962505833333331,0.7139839655332055,0.7116549793103446,0.7534591064974456,0.6782160666666669,0.6823161494252872,0.7405489113825033,0.6125469885057471,0.8942482732758621,0.709247224881155
A,7,twibot20,7,0.5961513352650063,0.7099176935025542,0.7108349497924649,0.7522762568486591,0.6767327057471265,0.681419487356322,0.7388436658365262,0.6118017464080461,0.8905412073275861,0.7076132275649212
A,8,cp_hk_twitter,8,0.595983592480843,0.7100369516443167,0.71017469947318,0.7526283572477651,0.6770266459770116,0.6815198597701151,0.7383968347062578,0.6097725876436783,0.891795188362069,0.7074816352561375
A,9,facebook_page_reference,9,0.5962419393199234,0.7118645055874839,0.7105598288633459,0.7531138860791825,0.6768632252873563,0.681738567816092,0.7378647791666668,0.6108045053160921,0.889002822126437,0.70756156217362
B,1,ukr_rus_suspended,1,0.606684469811622,0.7635911657088121,0.7283161649584929,0.7873168939974458,0.7200673264367816,0.6954320114942529,0.7997964896551725,0.6402755137931034,0.8879230512931033,0.736600343016532
B,2,election2020,2,0.6051902136015328,0.7458056361749682,0.7224727219827585,0.7698041786238825,0.7043239448275863,0.6903827471264369,0.7824508430395913,0.637484640948276,0.9018415840517241,0.7288618344863064
B,3,ukr_rus_twitter,3,0.6018682028735631,0.7291948815293743,0.7184079666347382,0.7616170185823755,0.6917600988505745,0.6879588436781608,0.7632402189814814,0.6312109090517242,0.9010888142241379,0.7207052171562366
B,4,facebook_page_reference,4,0.5998164253033206,0.7220159929597701,0.7153762811462325,0.7595131453544061,0.6852599586206897,0.6829367770114944,0.7519381050925925,0.6246972785919541,0.8950563580459769,0.7151789246807152
B,5,cp_hk_twitter,5,0.5989845685983397,0.7188107795977013,0.7132010448435505,0.7588667954022987,0.686113455172414,0.6837459011494252,0.750119160376756,0.6237015863505749,0.8974956159482758,0.7145598786043706
B,6,covid_political,6,0.5990651728767561,0.7199431172413792,0.7144266180555554,0.7576083891283525,0.6856896781609196,0.6865165701149425,0.7526842050925926,0.6221405458333333,0.8987613567528735,0.7152039614729673
B,7,covid19_twitter,7,0.5978426721104726,0.715747667688378,0.7128201904054918,0.756059370418263,0.6831833264367815,0.6851739425287355,0.7473321689655174,0.6181479579022988,0.897325575,0.7126258746062154
