condition,excluded,seen,unseen
fixed_30way,covid_political,0.7849199730857879,0.9040681831597221
fixed_30way,election2020,0.7723410204614164,0.9851997500000002
fixed_30way,facebook_page_reference,0.8303096525607639,0.578786377271911
fixed_30way,twibot20,0.8148233256914512,0.5879693550347223
fixed_30way,ukr_rus_suspended,0.876619331298641,0.48179349999999993
variable_way,covid_political,0.7742338016073995,0.9157905772569443
variable_way,election2020,0.7571542890946779,0.9840365
variable_way,facebook_page_reference,0.8308779194878472,0.5543050167923851
variable_way,twibot20,0.8113435085997365,0.6676482100694444
variable_way,ukr_rus_suspended,0.8751477685546876,0.49824925
support_relation,covid_political,0.777027542083483,0.9099394539930555
support_relation,election2020,0.7616551640325671,0.9837816249999999
support_relation,facebook_page_reference,0.8241003025173611,0.5494313007453304
support_relation,twibot20,0.8071973592702346,0.5685976163194445
support_relation,ukr_rus_suspended,0.8654497518214199,0.4913875
