condition,excluded,seen,unseen
fixed_30way,covid_political,0.6096875,0.8303333333333334
fixed_30way,election2020,0.584646875,0.97275
fixed_30way,facebook_page_reference,0.7929895833333334,0.06534166666666667
fixed_30way,twibot20,0.6450145833333334,0.5635208333333334
fixed_30way,ukr_rus_suspended,0.692765625,0.49025
variable_way,covid_political,0.5958104166666667,0.8605208333333333
variable_way,election2020,0.567371875,0.9645
variable_way,facebook_page_reference,0.7927447916666668,0.05155
variable_way,twibot20,0.6361291666666666,0.6292083333333334
variable_way,ukr_rus_suspended,0.6873,0.50325
