model_source,ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference
ukr_rus,0.9254863374534694,0.9607473647000688,0.8486467114353545,0.8332595190782656,0.8329812252201797,0.8311000222904015,0.8969114708261015,0.7134749758745975,0.865969851464604
covid,0.8939426076366526,0.9653832366183343,0.8446188971914095,0.8320112432556591,0.8378247159650956,0.8233079813449318,0.9041060779286527,0.7120442438856395,0.8354185992730533
midterm,0.7975882579083644,0.8802397935326529,0.8644259330413351,0.820289746372179,0.8305737917450653,0.7559030848444651,0.8501769935490985,0.6984218072160451,0.7468772464328342
covid_political,0.6644709625463375,0.748706214135634,0.7015651421985406,0.8660095057268252,0.7868971562933649,0.673280835699761,0.765975071643961,0.6014386285767245,0.6340169071237703
election2020,0.7076015506210911,0.7593985960858078,0.7506794791112001,0.8263122817565653,0.8894001752937434,0.7196116101239377,0.8014238182155565,0.6495243276216062,0.6643096733824048
ukr_rus_suspended,0.8011947041727118,0.8672226216144489,0.7646232826956388,0.7527419395373699,0.7567333396367186,0.9237125739740685,0.7478085034195033,0.67834656791212,0.7606395426837878
twibot20,0.8553251641006762,0.9399179657757053,0.8502654883139892,0.8285687229185726,0.8399578246577032,0.798355902383154,0.91361786392,0.718676766627593,0.8076398403708505
cp_hk,0.7687040800335763,0.855281987318134,0.8224087295404339,0.7513344624033377,0.748384577926548,0.7316346208254495,0.7872273765304537,0.8112457050674262,0.7698521694917788
facebook_page_reference,0.7946127672305052,0.8545318349111126,0.747652525920064,0.7675268113384758,0.8030080091450863,0.731951690587961,0.8024783726852972,0.662274962184073,0.8126513110723532
