order,rung,added,final_heldout_target,mixture_auc,best_constituent,best_constituent_auc,raw_single_source_auc
A,1,ukr_rus,cp_hk_twitter,0.724,ukr_rus_twitter,0.724,0.714
A,2,covid,cp_hk_twitter,0.726,covid19_twitter,0.7196,0.7196
A,3,midterm,cp_hk_twitter,0.72,covid19_twitter,0.7196,0.7196
A,4,covid_political,cp_hk_twitter,0.7235,covid19_twitter,0.7196,0.7196
A,5,election2020,cp_hk_twitter,0.7261,covid19_twitter,0.7196,0.7196
A,6,ukr_rus_suspended,cp_hk_twitter,0.7239,covid19_twitter,0.7196,0.7196
A,7,twibot20,cp_hk_twitter,0.7267,covid19_twitter,0.7196,0.7196
B,1,covid,election2020,0.8345,covid19_twitter,0.8345,0.8345
B,2,ukr_rus,election2020,0.828,covid19_twitter,0.8345,0.8345
B,3,twibot20,election2020,0.8262687172413794,covid19_twitter,0.8345,0.8345
B,4,midterm,election2020,0.8226825218390805,covid19_twitter,0.8345,0.8345
B,5,ukr_rus_suspended,election2020,0.8316414873563218,covid19_twitter,0.8345,0.8345
B,6,cp_hk,election2020,0.827781832183908,covid19_twitter,0.8345,0.8345
B,7,covid_political,election2020,0.8400826022988507,covid19_twitter,0.8345,0.8345
C,1,election2020,covid19_twitter,0.6551,election2020,0.6551,0.6551
C,2,covid_political,covid19_twitter,0.7322287988825033,covid_political,0.6985,0.6985
C,3,cp_hk,covid19_twitter,0.832790019476373,cp_hk_twitter,0.7579,0.7579
C,4,ukr_rus_suspended,covid19_twitter,0.8927544834610472,ukr_rus_suspended,0.8307,0.8307
C,5,midterm,covid19_twitter,0.9308379506226054,midterm,0.879,0.879
C,6,twibot20,covid19_twitter,0.9559441030970623,twibot20,0.9473,0.9473
C,7,ukr_rus,covid19_twitter,0.968881610823755,ukr_rus_twitter,0.973,0.973
